"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CDH2",0.0517690708456016,3.55555301796313,2.32167809621825,0.0245096247894332,0.116040220903199,-3.80002247829254
"AREG",-0.245610457081312,2.62202610306521,-2.32012640268962,0.0246005268314781,0.116040220903199,-3.80321372105931
"PRKACB",-0.0461105701467446,3.46626590635476,-2.31254299225383,0.0250491283407148,0.117417789097101,-3.81878556571736
"P4HA2",-0.0722827466618083,3.01345152353394,-2.29273258126502,0.0262556666770846,0.121759685397488,-3.85927320979813
"ITGAX",-0.0745096998243069,3.38064762026577,-2.29201876323718,0.0263000920458575,0.121759685397488,-3.86072690278797
"SERPINA1",-0.0951800992055829,3.22951092847146,-2.27955540036202,0.0270866320006949,0.124631742334486,-3.88605036934117
"CD84",-0.084728596450597,3.31901430358854,-2.27642693583169,0.0272873221003468,0.124767991727455,-3.89238956730983
"IL6R",-0.067799512608318,3.10284556764038,-2.27392211530285,0.0274489581800401,0.124767991727455,-3.89746005896573
"SYK",-0.080162930796881,3.191810670792,-2.25421148644305,0.0287508841633239,0.129898573027066,-3.93720404279903
"SIRPB2",-0.0911938216882873,3.01274986579892,-2.2413338217659,0.0296308187463514,0.132915446114592,-3.96302010326373
"DUSP1",-0.0760710960956104,3.65657560471562,-2.23779446854438,0.0298768109102833,0.132915446114592,-3.97009464496763
"APOE",-0.0422759566616153,3.86057056105356,-2.23674239247904,0.0299502805244882,0.132915446114592,-3.97219582239977
"H2AFX",0.0531127019302637,3.1557415987252,2.22828874475331,0.0305464598041019,0.134444671237745,-3.98905028881859
"CD86",-0.0792625525102295,3.03736543996123,-2.22678805553024,0.0306533850422059,0.134444671237745,-3.99203690609476
"CXCR2",-0.100607925524305,2.77305088246093,-2.22077068165591,0.0310854634081709,0.135278759561167,-4.00399613926436
"HDAC3",0.0328689489169904,3.21401246297649,2.21912866957256,0.0312043005387759,0.135278759561167,-4.00725501443576
"ELOB",0.0620237270609496,2.95173567232559,2.20617899684848,0.0321556750296965,0.13680170343903,-4.03288764096338
"GOT2",-0.038839438884481,3.34561187351024,-2.20614588331388,0.0321581402870531,0.13680170343903,-4.03295303021542
"EPCAM",-0.131017418770751,2.48723431749459,-2.20468061404083,0.0322673949185305,0.13680170343903,-4.03584569876946
